Jurisdiction,Fire size class,Year,Number null
British Columbia,Over 100 000 ha,2014,1
British Columbia,1000.1 - 10 000 ha,2014,16
British Columbia,10 000.1 - 100 000 ha,2014,5
British Columbia,100.1 - 1 000 ha,2014,31
British Columbia,10.1 - 100 ha,2014,87
British Columbia,1.1 - 10 ha,2014,187
British Columbia,0.11 - 1.0 ha,2014,306
British Columbia,Up to 0.1 ha,2014,845
British Columbia,1000.1 - 10 000 ha,2013,5
British Columbia,100.1 - 1 000 ha,2013,16
British Columbia,10.1 - 100 ha,2013,86
British Columbia,1.1 - 10 ha,2013,195
British Columbia,0.11 - 1.0 ha,2013,355
British Columbia,Up to 0.1 ha,2013,1222
British Columbia,1000.1 - 10 000 ha,2012,16
British Columbia,10 000.1 - 100 000 ha,2012,2
British Columbia,100.1 - 1 000 ha,2012,24
British Columbia,10.1 - 100 ha,2012,94
British Columbia,1.1 - 10 ha,2012,194
British Columbia,0.11 - 1.0 ha,2012,332
British Columbia,Up to 0.1 ha,2012,997
British Columbia,10 000.1 - 100 000 ha,2011,1
British Columbia,100.1 - 1 000 ha,2011,5
British Columbia,10.1 - 100 ha,2011,23
British Columbia,1.1 - 10 ha,2011,80
British Columbia,0.11 - 1.0 ha,2011,131
British Columbia,Up to 0.1 ha,2011,444
British Columbia,1000.1 - 10 000 ha,2010,32
British Columbia,10 000.1 - 100 000 ha,2010,9
British Columbia,100.1 - 1 000 ha,2010,43
British Columbia,10.1 - 100 ha,2010,99
British Columbia,1.1 - 10 ha,2010,217
British Columbia,0.11 - 1.0 ha,2010,336
British Columbia,Up to 0.1 ha,2010,995
British Columbia,1000.1 - 10 000 ha,2009,30
British Columbia,10 000.1 - 100 000 ha,2009,3
British Columbia,100.1 - 1 000 ha,2009,81
British Columbia,10.1 - 100 ha,2009,165
British Columbia,1.1 - 10 ha,2009,258
British Columbia,0.11 - 1.0 ha,2009,553
British Columbia,Up to 0.1 ha,2009,2011
British Columbia,1000.1 - 10 000 ha,2008,3
British Columbia,100.1 - 1 000 ha,2008,16
British Columbia,10.1 - 100 ha,2008,72
British Columbia,1.1 - 10 ha,2008,169
British Columbia,0.11 - 1.0 ha,2008,387
British Columbia,Up to 0.1 ha,2008,1411
British Columbia,1000.1 - 10 000 ha,2007,7
British Columbia,100.1 - 1 000 ha,2007,17
British Columbia,10.1 - 100 ha,2007,55
British Columbia,1.1 - 10 ha,2007,134
British Columbia,0.11 - 1.0 ha,2007,348
British Columbia,Up to 0.1 ha,2007,1080
British Columbia,1000.1 - 10 000 ha,2006,21
British Columbia,10 000.1 - 100 000 ha,2006,4
British Columbia,100.1 - 1 000 ha,2006,65
British Columbia,10.1 - 100 ha,2006,128
British Columbia,1.1 - 10 ha,2006,284
British Columbia,0.11 - 1.0 ha,2006,440
British Columbia,Up to 0.1 ha,2006,1645
British Columbia,1000.1 - 10 000 ha,2005,5
British Columbia,10 000.1 - 100 000 ha,2005,1
British Columbia,100.1 - 1 000 ha,2005,18
British Columbia,10.1 - 100 ha,2005,50
British Columbia,1.1 - 10 ha,2005,122
British Columbia,0.11 - 1.0 ha,2005,215
British Columbia,Up to 0.1 ha,2005,595
British Columbia,1000.1 - 10 000 ha,2004,21
British Columbia,10 000.1 - 100 000 ha,2004,6
British Columbia,100.1 - 1 000 ha,2004,50
British Columbia,10.1 - 100 ha,2004,113
British Columbia,1.1 - 10 ha,2004,257
British Columbia,0.11 - 1.0 ha,2004,478
British Columbia,Up to 0.1 ha,2004,1493
British Columbia,1000.1 - 10 000 ha,2003,36
British Columbia,10 000.1 - 100 000 ha,2003,6
British Columbia,100.1 - 1 000 ha,2003,63
British Columbia,10.1 - 100 ha,2003,116
British Columbia,1.1 - 10 ha,2003,267
British Columbia,0.11 - 1.0 ha,2003,514
British Columbia,Up to 0.1 ha,2003,1488
British Columbia,1000.1 - 10 000 ha,2002,2
British Columbia,100.1 - 1 000 ha,2002,9
British Columbia,10.1 - 100 ha,2002,59
British Columbia,1.1 - 10 ha,2002,226
British Columbia,0.11 - 1.0 ha,2002,423
British Columbia,Up to 0.1 ha,2002,1076
