Jurisdiction,Fire size class,Year,Number null
Northwest Territories,0.11 - 1.0 ha,1994,179
Northwest Territories,Up to 0.1 ha,1994,127
Northwest Territories,Over 100 000 ha,1993,1
Northwest Territories,1000.1 - 10 000 ha,1993,27
Northwest Territories,10 000.1 - 100 000 ha,1993,17
Northwest Territories,100.1 - 1 000 ha,1993,32
Northwest Territories,10.1 - 100 ha,1993,35
Northwest Territories,1.1 - 10 ha,1993,102
Northwest Territories,0.11 - 1.0 ha,1993,140
Northwest Territories,Up to 0.1 ha,1993,119
Northwest Territories,1000.1 - 10 000 ha,1992,9
Northwest Territories,100.1 - 1 000 ha,1992,18
Northwest Territories,10.1 - 100 ha,1992,17
Northwest Territories,1.1 - 10 ha,1992,73
Northwest Territories,0.11 - 1.0 ha,1992,94
Northwest Territories,Up to 0.1 ha,1992,74
Northwest Territories,1000.1 - 10 000 ha,1991,11
Northwest Territories,10 000.1 - 100 000 ha,1991,8
Northwest Territories,100.1 - 1 000 ha,1991,23
Northwest Territories,10.1 - 100 ha,1991,41
Northwest Territories,1.1 - 10 ha,1991,83
Northwest Territories,0.11 - 1.0 ha,1991,86
Northwest Territories,Up to 0.1 ha,1991,79
Northwest Territories,1000.1 - 10 000 ha,1990,5
Northwest Territories,10 000.1 - 100 000 ha,1990,4
Northwest Territories,100.1 - 1 000 ha,1990,9
Northwest Territories,10.1 - 100 ha,1990,22
Northwest Territories,1.1 - 10 ha,1990,60
Northwest Territories,0.11 - 1.0 ha,1990,72
Northwest Territories,Up to 0.1 ha,1990,64
Nova Scotia,Unspecified,2021,113
Nova Scotia,100.1 - 1 000 ha,2020,3
Nova Scotia,10.1 - 100 ha,2020,5
Nova Scotia,1.1 - 10 ha,2020,33
Nova Scotia,0.11 - 1.0 ha,2020,64
Nova Scotia,Up to 0.1 ha,2020,73
Nova Scotia,10.1 - 100 ha,2019,1
Nova Scotia,1.1 - 10 ha,2019,26
Nova Scotia,0.11 - 1.0 ha,2019,51
Nova Scotia,Up to 0.1 ha,2019,65
Nova Scotia,10.1 - 100 ha,2018,3
Nova Scotia,1.1 - 10 ha,2018,35
Nova Scotia,0.11 - 1.0 ha,2018,104
Nova Scotia,Up to 0.1 ha,2018,54
Nova Scotia,100.1 - 1 000 ha,2017,1
Nova Scotia,10.1 - 100 ha,2017,2
Nova Scotia,1.1 - 10 ha,2017,5
Nova Scotia,0.11 - 1.0 ha,2017,12
Nova Scotia,Up to 0.1 ha,2017,157
Nova Scotia,100.1 - 1 000 ha,2016,1
Nova Scotia,10.1 - 100 ha,2016,12
Nova Scotia,1.1 - 10 ha,2016,52
Nova Scotia,0.11 - 1.0 ha,2016,91
Nova Scotia,Up to 0.1 ha,2016,115
Nova Scotia,100.1 - 1 000 ha,2015,1
Nova Scotia,10.1 - 100 ha,2015,8
Nova Scotia,1.1 - 10 ha,2015,57
Nova Scotia,0.11 - 1.0 ha,2015,99
Nova Scotia,Up to 0.1 ha,2015,84
Nova Scotia,100.1 - 1 000 ha,2014,1
Nova Scotia,10.1 - 100 ha,2014,6
Nova Scotia,1.1 - 10 ha,2014,45
Nova Scotia,0.11 - 1.0 ha,2014,54
Nova Scotia,Up to 0.1 ha,2014,66
Nova Scotia,10.1 - 100 ha,2013,5
Nova Scotia,1.1 - 10 ha,2013,41
Nova Scotia,0.11 - 1.0 ha,2013,68
Nova Scotia,Up to 0.1 ha,2013,60
Nova Scotia,1.1 - 10 ha,2012,90
Nova Scotia,0.11 - 1.0 ha,2012,125
Nova Scotia,Up to 0.1 ha,2012,138
Nova Scotia,10.1 - 100 ha,2011,2
Nova Scotia,1.1 - 10 ha,2011,36
Nova Scotia,0.11 - 1.0 ha,2011,38
Nova Scotia,Up to 0.1 ha,2011,38
Nova Scotia,10.1 - 100 ha,2010,6
Nova Scotia,1.1 - 10 ha,2010,61
Nova Scotia,0.11 - 1.0 ha,2010,109
Nova Scotia,Up to 0.1 ha,2010,74
Nova Scotia,100.1 - 1 000 ha,2009,1
Nova Scotia,10.1 - 100 ha,2009,5
Nova Scotia,1.1 - 10 ha,2009,22
Nova Scotia,0.11 - 1.0 ha,2009,32
Nova Scotia,Up to 0.1 ha,2009,131
Nova Scotia,1000.1 - 10 000 ha,2008,1
Nova Scotia,100.1 - 1 000 ha,2008,2
Nova Scotia,10.1 - 100 ha,2008,9
Nova Scotia,1.1 - 10 ha,2008,53
Nova Scotia,0.11 - 1.0 ha,2008,52
Nova Scotia,Up to 0.1 ha,2008,131
Nova Scotia,10.1 - 100 ha,2007,14
Nova Scotia,1.1 - 10 ha,2007,86
Nova Scotia,0.11 - 1.0 ha,2007,80
Nova Scotia,Up to 0.1 ha,2007,207
Nova Scotia,100.1 - 1 000 ha,2006,4
Nova Scotia,10.1 - 100 ha,2006,8
Nova Scotia,1.1 - 10 ha,2006,45
Nova Scotia,0.11 - 1.0 ha,2006,49
Nova Scotia,Up to 0.1 ha,2006,110
Nova Scotia,100.1 - 1 000 ha,2005,1
Nova Scotia,10.1 - 100 ha,2005,7
Nova Scotia,1.1 - 10 ha,2005,50
Nova Scotia,0.11 - 1.0 ha,2005,51
Nova Scotia,Up to 0.1 ha,2005,180
Nova Scotia,10.1 - 100 ha,2004,4
Nova Scotia,1.1 - 10 ha,2004,45
Nova Scotia,0.11 - 1.0 ha,2004,101
Nova Scotia,Up to 0.1 ha,2004,109
Nova Scotia,100.1 - 1 000 ha,2003,2
Nova Scotia,10.1 - 100 ha,2003,9
Nova Scotia,1.1 - 10 ha,2003,44
Nova Scotia,0.11 - 1.0 ha,2003,95
Nova Scotia,Up to 0.1 ha,2003,122
Nova Scotia,10.1 - 100 ha,2002,3
Nova Scotia,1.1 - 10 ha,2002,39
Nova Scotia,0.11 - 1.0 ha,2002,84
Nova Scotia,Up to 0.1 ha,2002,144
Nova Scotia,10.1 - 100 ha,2001,11
Nova Scotia,1.1 - 10 ha,2001,50
Nova Scotia,0.11 - 1.0 ha,2001,152
Nova Scotia,Up to 0.1 ha,2001,276
Nova Scotia,100.1 - 1 000 ha,2000,2
Nova Scotia,10.1 - 100 ha,2000,1
Nova Scotia,1.1 - 10 ha,2000,26
Nova Scotia,0.11 - 1.0 ha,2000,59
Nova Scotia,Up to 0.1 ha,2000,124
Nova Scotia,100.1 - 1 000 ha,1999,5
Nova Scotia,10.1 - 100 ha,1999,4
Nova Scotia,1.1 - 10 ha,1999,70
Nova Scotia,0.11 - 1.0 ha,1999,159
Nova Scotia,Up to 0.1 ha,1999,226
Nova Scotia,10.1 - 100 ha,1998,9
Nova Scotia,1.1 - 10 ha,1998,52
Nova Scotia,0.11 - 1.0 ha,1998,115
Nova Scotia,Up to 0.1 ha,1998,170
Nova Scotia,100.1 - 1 000 ha,1997,1
Nova Scotia,10.1 - 100 ha,1997,7
Nova Scotia,1.1 - 10 ha,1997,48
Nova Scotia,0.11 - 1.0 ha,1997,118
Nova Scotia,Up to 0.1 ha,1997,196
Nova Scotia,100.1 - 1 000 ha,1996,1
Nova Scotia,10.1 - 100 ha,1996,9
Nova Scotia,1.1 - 10 ha,1996,74
Nova Scotia,0.11 - 1.0 ha,1996,100
Nova Scotia,Up to 0.1 ha,1996,86
Nova Scotia,10.1 - 100 ha,1995,7
Nova Scotia,1.1 - 10 ha,1995,69
Nova Scotia,0.11 - 1.0 ha,1995,153
Nova Scotia,Up to 0.1 ha,1995,178
Nova Scotia,10.1 - 100 ha,1994,5
Nova Scotia,1.1 - 10 ha,1994,43
Nova Scotia,0.11 - 1.0 ha,1994,76
Nova Scotia,Up to 0.1 ha,1994,139
Nova Scotia,10.1 - 100 ha,1993,3
Nova Scotia,1.1 - 10 ha,1993,65
Nova Scotia,0.11 - 1.0 ha,1993,100
Nova Scotia,Up to 0.1 ha,1993,134
Nova Scotia,100.1 - 1 000 ha,1992,2
Nova Scotia,10.1 - 100 ha,1992,8
Nova Scotia,1.1 - 10 ha,1992,35
Nova Scotia,0.11 - 1.0 ha,1992,111
Nova Scotia,Up to 0.1 ha,1992,140
Nova Scotia,100.1 - 1 000 ha,1991,2
Nova Scotia,10.1 - 100 ha,1991,22
Nova Scotia,1.1 - 10 ha,1991,112
Nova Scotia,0.11 - 1.0 ha,1991,264
Nova Scotia,Up to 0.1 ha,1991,326
Nova Scotia,100.1 - 1 000 ha,1990,2
Nova Scotia,10.1 - 100 ha,1990,15
Nova Scotia,1.1 - 10 ha,1990,61
Nova Scotia,0.11 - 1.0 ha,1990,160
Nova Scotia,Up to 0.1 ha,1990,259
Ontario,Unspecified,2021,1198
Ontario,1000.1 - 10 000 ha,2020,3
Ontario,100.1 - 1 000 ha,2020,15
Ontario,10.1 - 100 ha,2020,36
Ontario,1.1 - 10 ha,2020,102
Ontario,0.11 - 1.0 ha,2020,208
Ontario,Up to 0.1 ha,2020,250
Ontario,1000.1 - 10 000 ha,2019,7
Ontario,10 000.1 - 100 000 ha,2019,5
Ontario,100.1 - 1 000 ha,2019,11
Ontario,10.1 - 100 ha,2019,21
Ontario,1.1 - 10 ha,2019,67
Ontario,0.11 - 1.0 ha,2019,429
Ontario,Up to 0.1 ha,2019,1
Ontario,1000.1 - 10 000 ha,2018,29
Ontario,10 000.1 - 100 000 ha,2018,6
Ontario,100.1 - 1 000 ha,2018,47
Ontario,10.1 - 100 ha,2018,70
Ontario,1.1 - 10 ha,2018,247
Ontario,0.11 - 1.0 ha,2018,934
Ontario,Up to 0.1 ha,2018,6
Ontario,1000.1 - 10 000 ha,2017,15
Ontario,10 000.1 - 100 000 ha,2017,3
Ontario,100.1 - 1 000 ha,2017,42
Ontario,10.1 - 100 ha,2017,73
Ontario,1.1 - 10 ha,2017,114
Ontario,0.11 - 1.0 ha,2017,534
Ontario,1000.1 - 10 000 ha,2016,3
Ontario,10 000.1 - 100 000 ha,2016,1
Ontario,100.1 - 1 000 ha,2016,7
Ontario,10.1 - 100 ha,2016,26
Ontario,1.1 - 10 ha,2016,91
Ontario,0.11 - 1.0 ha,2016,523
Ontario,Up to 0.1 ha,2016,6
Ontario,1000.1 - 10 000 ha,2015,8
Ontario,10 000.1 - 100 000 ha,2015,1
Ontario,100.1 - 1 000 ha,2015,26
Ontario,10.1 - 100 ha,2015,35
Ontario,1.1 - 10 ha,2015,123
Ontario,0.11 - 1.0 ha,2015,480
Ontario,Up to 0.1 ha,2015,2
Ontario,1000.1 - 10 000 ha,2014,1
Ontario,100.1 - 1 000 ha,2014,7
Ontario,10.1 - 100 ha,2014,15
Ontario,1.1 - 10 ha,2014,34
Ontario,0.11 - 1.0 ha,2014,252
Ontario,1000.1 - 10 000 ha,2013,9
Ontario,10 000.1 - 100 000 ha,2013,1
Ontario,100.1 - 1 000 ha,2013,23
Ontario,10.1 - 100 ha,2013,32
Ontario,1.1 - 10 ha,2013,96
Ontario,0.11 - 1.0 ha,2013,421
Ontario,1000.1 - 10 000 ha,2012,19
Ontario,10 000.1 - 100 000 ha,2012,4
Ontario,100.1 - 1 000 ha,2012,39
Ontario,10.1 - 100 ha,2012,59
Ontario,1.1 - 10 ha,2012,236
Ontario,0.11 - 1.0 ha,2012,1273
Ontario,Up to 0.1 ha,2012,5
Ontario,Over 100 000 ha,2011,2
Ontario,1000.1 - 10 000 ha,2011,30
Ontario,10 000.1 - 100 000 ha,2011,13
Ontario,100.1 - 1 000 ha,2011,38
Ontario,10.1 - 100 ha,2011,44
Ontario,1.1 - 10 ha,2011,165
Ontario,0.11 - 1.0 ha,2011,1048
Ontario,1000.1 - 10 000 ha,2010,4
Ontario,100.1 - 1 000 ha,2010,13
Ontario,10.1 - 100 ha,2010,33
Ontario,1.1 - 10 ha,2010,163
Ontario,0.11 - 1.0 ha,2010,720
Ontario,1000.1 - 10 000 ha,2009,6
Ontario,100.1 - 1 000 ha,2009,17
Ontario,10.1 - 100 ha,2009,20
Ontario,1.1 - 10 ha,2009,55
Ontario,0.11 - 1.0 ha,2009,293
Ontario,100.1 - 1 000 ha,2008,3
Ontario,10.1 - 100 ha,2008,8
Ontario,1.1 - 10 ha,2008,35
Ontario,0.11 - 1.0 ha,2008,296
Ontario,Up to 0.1 ha,2008,2
Ontario,1000.1 - 10 000 ha,2007,2
Ontario,10 000.1 - 100 000 ha,2007,2
Ontario,100.1 - 1 000 ha,2007,13
Ontario,10.1 - 100 ha,2007,38
Ontario,1.1 - 10 ha,2007,144
Ontario,0.11 - 1.0 ha,2007,929
Ontario,Up to 0.1 ha,2007,1
Ontario,1000.1 - 10 000 ha,2006,25
Ontario,10 000.1 - 100 000 ha,2006,2
Ontario,100.1 - 1 000 ha,2006,55
Ontario,10.1 - 100 ha,2006,113
Ontario,1.1 - 10 ha,2006,257
Ontario,0.11 - 1.0 ha,2006,1836
Ontario,Up to 0.1 ha,2006,4
Ontario,1000.1 - 10 000 ha,2005,8
Ontario,10 000.1 - 100 000 ha,2005,1
Ontario,100.1 - 1 000 ha,2005,13
Ontario,10.1 - 100 ha,2005,37
Ontario,1.1 - 10 ha,2005,199
Ontario,0.11 - 1.0 ha,2005,1709
Ontario,Up to 0.1 ha,2005,11
Ontario,1000.1 - 10 000 ha,2004,1
Ontario,10.1 - 100 ha,2004,6
Ontario,1.1 - 10 ha,2004,51
Ontario,0.11 - 1.0 ha,2004,377
Ontario,1000.1 - 10 000 ha,2003,6
Ontario,10 000.1 - 100 000 ha,2003,8
Ontario,100.1 - 1 000 ha,2003,28
Ontario,10.1 - 100 ha,2003,39
Ontario,1.1 - 10 ha,2003,163
Ontario,0.11 - 1.0 ha,2003,798
Ontario,Up to 0.1 ha,2003,1
Ontario,1000.1 - 10 000 ha,2002,19
Ontario,10 000.1 - 100 000 ha,2002,5
Ontario,100.1 - 1 000 ha,2002,43
Ontario,10.1 - 100 ha,2002,49
Ontario,1.1 - 10 ha,2002,114
Ontario,0.11 - 1.0 ha,2002,933
Ontario,1000.1 - 10 000 ha,2001,2
Ontario,100.1 - 1 000 ha,2001,16
Ontario,10.1 - 100 ha,2001,63
Ontario,1.1 - 10 ha,2001,214
Ontario,0.11 - 1.0 ha,2001,1297
Ontario,Up to 0.1 ha,2001,4
Ontario,1000.1 - 10 000 ha,2000,1
Ontario,100.1 - 1 000 ha,2000,8
Ontario,10.1 - 100 ha,2000,31
Ontario,1.1 - 10 ha,2000,93
Ontario,0.11 - 1.0 ha,2000,520
Ontario,1000.1 - 10 000 ha,1999,18
Ontario,10 000.1 - 100 000 ha,1999,7
Ontario,100.1 - 1 000 ha,1999,23
Ontario,10.1 - 100 ha,1999,49
Ontario,1.1 - 10 ha,1999,163
Ontario,0.11 - 1.0 ha,1999,764
Ontario,Up to 0.1 ha,1999,1
Ontario,1000.1 - 10 000 ha,1998,26
Ontario,10 000.1 - 100 000 ha,1998,2
Ontario,100.1 - 1 000 ha,1998,48
Ontario,10.1 - 100 ha,1998,79
Ontario,1.1 - 10 ha,1998,364
Ontario,0.11 - 1.0 ha,1998,1772
Ontario,1000.1 - 10 000 ha,1997,7
Ontario,100.1 - 1 000 ha,1997,13
Ontario,10.1 - 100 ha,1997,31
Ontario,1.1 - 10 ha,1997,211
Ontario,0.11 - 1.0 ha,1997,1384
Ontario,1000.1 - 10 000 ha,1996,64
Ontario,10 000.1 - 100 000 ha,1996,12
Ontario,100.1 - 1 000 ha,1996,68
Ontario,10.1 - 100 ha,1996,81
Ontario,1.1 - 10 ha,1996,205
Ontario,0.11 - 1.0 ha,1996,841
Ontario,Up to 0.1 ha,1996,4
Ontario,Over 100 000 ha,1995,1
Ontario,1000.1 - 10 000 ha,1995,53
Ontario,10 000.1 - 100 000 ha,1995,14
Ontario,100.1 - 1 000 ha,1995,71
Ontario,10.1 - 100 ha,1995,128
Ontario,1.1 - 10 ha,1995,388
Ontario,0.11 - 1.0 ha,1995,1495
Ontario,1000.1 - 10 000 ha,1994,14
Ontario,10 000.1 - 100 000 ha,1994,2
Ontario,100.1 - 1 000 ha,1994,20
Ontario,10.1 - 100 ha,1994,65
Ontario,1.1 - 10 ha,1994,221
Ontario,0.11 - 1.0 ha,1994,757
Ontario,1000.1 - 10 000 ha,1993,6
Ontario,10 000.1 - 100 000 ha,1993,4
Ontario,100.1 - 1 000 ha,1993,11
Ontario,10.1 - 100 ha,1993,25
Ontario,1.1 - 10 ha,1993,89
Ontario,0.11 - 1.0 ha,1993,607
Ontario,1000.1 - 10 000 ha,1992,10
Ontario,10 000.1 - 100 000 ha,1992,7
Ontario,100.1 - 1 000 ha,1992,14
Ontario,10.1 - 100 ha,1992,43
Ontario,1.1 - 10 ha,1992,173
Ontario,0.11 - 1.0 ha,1992,713
Ontario,1000.1 - 10 000 ha,1991,22
Ontario,10 000.1 - 100 000 ha,1991,6
Ontario,100.1 - 1 000 ha,1991,39
Ontario,10.1 - 100 ha,1991,81
Ontario,1.1 - 10 ha,1991,299
Ontario,0.11 - 1.0 ha,1991,2113
Ontario,1000.1 - 10 000 ha,1990,12
Ontario,10 000.1 - 100 000 ha,1990,7
Ontario,100.1 - 1 000 ha,1990,41
Ontario,10.1 - 100 ha,1990,59
Ontario,1.1 - 10 ha,1990,210
Ontario,0.11 - 1.0 ha,1990,1283
Parks Canada,Unspecified,2021,73
Prince Edward Island,Unspecified,2021,1
Prince Edward Island,1.1 - 10 ha,2019,2
Prince Edward Island,Up to 0.1 ha,2019,1
Prince Edward Island,1.1 - 10 ha,2018,2
Prince Edward Island,0.11 - 1.0 ha,2018,2
Prince Edward Island,Up to 0.1 ha,2018,4
Prince Edward Island,Unspecified,2017,4
Prince Edward Island,Over 100 000 ha,2017,
Prince Edward Island,1000.1 - 10 000 ha,2017,
Prince Edward Island,10 000.1 - 100 000 ha,2017,
Prince Edward Island,100.1 - 1 000 ha,2017,
Prince Edward Island,10.1 - 100 ha,2017,
Prince Edward Island,1.1 - 10 ha,2017,
Prince Edward Island,0.11 - 1.0 ha,2017,
Prince Edward Island,Up to 0.1 ha,2017,
Prince Edward Island,Over 100 000 ha,2016,
Prince Edward Island,1000.1 - 10 000 ha,2016,
Prince Edward Island,10 000.1 - 100 000 ha,2016,
Prince Edward Island,100.1 - 1 000 ha,2016,
Prince Edward Island,10.1 - 100 ha,2016,2
Prince Edward Island,1.1 - 10 ha,2016,1
Prince Edward Island,0.11 - 1.0 ha,2016,2
Prince Edward Island,Up to 0.1 ha,2016,3
Prince Edward Island,Unspecified,2015,5
Prince Edward Island,Over 100 000 ha,2015,
Prince Edward Island,1000.1 - 10 000 ha,2015,
Prince Edward Island,10 000.1 - 100 000 ha,2015,
Prince Edward Island,100.1 - 1 000 ha,2015,
Prince Edward Island,10.1 - 100 ha,2015,
Prince Edward Island,1.1 - 10 ha,2015,
Prince Edward Island,0.11 - 1.0 ha,2015,
Prince Edward Island,Up to 0.1 ha,2015,
Prince Edward Island,Over 100 000 ha,2014,
Prince Edward Island,1000.1 - 10 000 ha,2014,
Prince Edward Island,10 000.1 - 100 000 ha,2014,
Prince Edward Island,100.1 - 1 000 ha,2014,
Prince Edward Island,10.1 - 100 ha,2014,
Prince Edward Island,1.1 - 10 ha,2014,1
Prince Edward Island,0.11 - 1.0 ha,2014,2
Prince Edward Island,Up to 0.1 ha,2014,1
Prince Edward Island,Over 100 000 ha,2013,
Prince Edward Island,1000.1 - 10 000 ha,2013,
Prince Edward Island,10 000.1 - 100 000 ha,2013,
Prince Edward Island,100.1 - 1 000 ha,2013,
Prince Edward Island,10.1 - 100 ha,2013,1
Prince Edward Island,1.1 - 10 ha,2013,3
Prince Edward Island,0.11 - 1.0 ha,2013,4
Prince Edward Island,Up to 0.1 ha,2013,3
Prince Edward Island,Over 100 000 ha,2012,
Prince Edward Island,1000.1 - 10 000 ha,2012,
Prince Edward Island,10 000.1 - 100 000 ha,2012,
Prince Edward Island,100.1 - 1 000 ha,2012,
Prince Edward Island,10.1 - 100 ha,2012,
Prince Edward Island,1.1 - 10 ha,2012,2
Prince Edward Island,0.11 - 1.0 ha,2012,3
Prince Edward Island,Up to 0.1 ha,2012,3
Prince Edward Island,Over 100 000 ha,2011,
Prince Edward Island,1000.1 - 10 000 ha,2011,
Prince Edward Island,10 000.1 - 100 000 ha,2011,
Prince Edward Island,100.1 - 1 000 ha,2011,
Prince Edward Island,10.1 - 100 ha,2011,
Prince Edward Island,1.1 - 10 ha,2011,3
Prince Edward Island,0.11 - 1.0 ha,2011,1
Prince Edward Island,Up to 0.1 ha,2011,
Prince Edward Island,Over 100 000 ha,2010,
Prince Edward Island,1000.1 - 10 000 ha,2010,
Prince Edward Island,10 000.1 - 100 000 ha,2010,
Prince Edward Island,100.1 - 1 000 ha,2010,
Prince Edward Island,10.1 - 100 ha,2010,
Prince Edward Island,1.1 - 10 ha,2010,1
Prince Edward Island,0.11 - 1.0 ha,2010,1
Prince Edward Island,Up to 0.1 ha,2010,2
Prince Edward Island,Over 100 000 ha,2009,
Prince Edward Island,1000.1 - 10 000 ha,2009,
Prince Edward Island,10 000.1 - 100 000 ha,2009,
Prince Edward Island,100.1 - 1 000 ha,2009,
Prince Edward Island,10.1 - 100 ha,2009,
Prince Edward Island,1.1 - 10 ha,2009,
Prince Edward Island,0.11 - 1.0 ha,2009,7
Prince Edward Island,Up to 0.1 ha,2009,1
Prince Edward Island,Over 100 000 ha,2008,
Prince Edward Island,1000.1 - 10 000 ha,2008,
Prince Edward Island,10 000.1 - 100 000 ha,2008,
Prince Edward Island,100.1 - 1 000 ha,2008,
Prince Edward Island,10.1 - 100 ha,2008,
Prince Edward Island,1.1 - 10 ha,2008,1
Prince Edward Island,0.11 - 1.0 ha,2008,3
Prince Edward Island,Up to 0.1 ha,2008,2
Prince Edward Island,Over 100 000 ha,2007,
Prince Edward Island,1000.1 - 10 000 ha,2007,
Prince Edward Island,10 000.1 - 100 000 ha,2007,
Prince Edward Island,100.1 - 1 000 ha,2007,
Prince Edward Island,10.1 - 100 ha,2007,1
Prince Edward Island,1.1 - 10 ha,2007,2
Prince Edward Island,0.11 - 1.0 ha,2007,2
Prince Edward Island,Up to 0.1 ha,2007,4
Prince Edward Island,Over 100 000 ha,2006,
Prince Edward Island,1000.1 - 10 000 ha,2006,
Prince Edward Island,10 000.1 - 100 000 ha,2006,
Prince Edward Island,100.1 - 1 000 ha,2006,
Prince Edward Island,10.1 - 100 ha,2006,2
Prince Edward Island,1.1 - 10 ha,2006,7
Prince Edward Island,0.11 - 1.0 ha,2006,13
Prince Edward Island,Up to 0.1 ha,2006,14
Prince Edward Island,Over 100 000 ha,2005,
Prince Edward Island,1000.1 - 10 000 ha,2005,
Prince Edward Island,10 000.1 - 100 000 ha,2005,
Prince Edward Island,100.1 - 1 000 ha,2005,
Prince Edward Island,10.1 - 100 ha,2005,1
Prince Edward Island,1.1 - 10 ha,2005,5
Prince Edward Island,0.11 - 1.0 ha,2005,5
Prince Edward Island,Up to 0.1 ha,2005,2
Prince Edward Island,Over 100 000 ha,2004,
Prince Edward Island,1000.1 - 10 000 ha,2004,
Prince Edward Island,10 000.1 - 100 000 ha,2004,
Prince Edward Island,100.1 - 1 000 ha,2004,
Prince Edward Island,10.1 - 100 ha,2004,
Prince Edward Island,1.1 - 10 ha,2004,6
Prince Edward Island,0.11 - 1.0 ha,2004,7
Prince Edward Island,Up to 0.1 ha,2004,7
Prince Edward Island,Over 100 000 ha,2003,
Prince Edward Island,1000.1 - 10 000 ha,2003,
Prince Edward Island,10 000.1 - 100 000 ha,2003,
Prince Edward Island,100.1 - 1 000 ha,2003,
Prince Edward Island,10.1 - 100 ha,2003,
Prince Edward Island,1.1 - 10 ha,2003,4
Prince Edward Island,0.11 - 1.0 ha,2003,5
Prince Edward Island,Up to 0.1 ha,2003,5
Prince Edward Island,Over 100 000 ha,2002,
Prince Edward Island,1000.1 - 10 000 ha,2002,
Prince Edward Island,10 000.1 - 100 000 ha,2002,
Prince Edward Island,100.1 - 1 000 ha,2002,
Prince Edward Island,10.1 - 100 ha,2002,4
Prince Edward Island,1.1 - 10 ha,2002,4
Prince Edward Island,0.11 - 1.0 ha,2002,3
Prince Edward Island,Up to 0.1 ha,2002,18
Prince Edward Island,Over 100 000 ha,2001,
Prince Edward Island,1000.1 - 10 000 ha,2001,
Prince Edward Island,10 000.1 - 100 000 ha,2001,
Prince Edward Island,100.1 - 1 000 ha,2001,
Prince Edward Island,10.1 - 100 ha,2001,
Prince Edward Island,1.1 - 10 ha,2001,7
Prince Edward Island,0.11 - 1.0 ha,2001,12
Prince Edward Island,Up to 0.1 ha,2001,27
Prince Edward Island,Over 100 000 ha,2000,
Prince Edward Island,1000.1 - 10 000 ha,2000,
Prince Edward Island,10 000.1 - 100 000 ha,2000,
Prince Edward Island,100.1 - 1 000 ha,2000,
Prince Edward Island,10.1 - 100 ha,2000,
Prince Edward Island,1.1 - 10 ha,2000,
Prince Edward Island,0.11 - 1.0 ha,2000,
Prince Edward Island,Up to 0.1 ha,2000,
Prince Edward Island,Over 100 000 ha,1999,
Prince Edward Island,1000.1 - 10 000 ha,1999,
Prince Edward Island,10 000.1 - 100 000 ha,1999,
Prince Edward Island,100.1 - 1 000 ha,1999,
Prince Edward Island,10.1 - 100 ha,1999,1
Prince Edward Island,1.1 - 10 ha,1999,11
Prince Edward Island,0.11 - 1.0 ha,1999,17
Prince Edward Island,Up to 0.1 ha,1999,5
Prince Edward Island,Over 100 000 ha,1998,
Prince Edward Island,1000.1 - 10 000 ha,1998,
Prince Edward Island,10 000.1 - 100 000 ha,1998,
Prince Edward Island,100.1 - 1 000 ha,1998,
Prince Edward Island,10.1 - 100 ha,1998,2
Prince Edward Island,1.1 - 10 ha,1998,5
Prince Edward Island,0.11 - 1.0 ha,1998,9
Prince Edward Island,Up to 0.1 ha,1998,11
Prince Edward Island,Over 100 000 ha,1997,
Prince Edward Island,1000.1 - 10 000 ha,1997,
Prince Edward Island,10 000.1 - 100 000 ha,1997,
Prince Edward Island,100.1 - 1 000 ha,1997,
Prince Edward Island,10.1 - 100 ha,1997,4
Prince Edward Island,1.1 - 10 ha,1997,12
Prince Edward Island,0.11 - 1.0 ha,1997,13
Prince Edward Island,Up to 0.1 ha,1997,5
Prince Edward Island,Over 100 000 ha,1996,
Prince Edward Island,1000.1 - 10 000 ha,1996,
Prince Edward Island,10 000.1 - 100 000 ha,1996,
Prince Edward Island,100.1 - 1 000 ha,1996,
Prince Edward Island,10.1 - 100 ha,1996,
Prince Edward Island,1.1 - 10 ha,1996,
Prince Edward Island,0.11 - 1.0 ha,1996,
Prince Edward Island,Up to 0.1 ha,1996,
Prince Edward Island,Over 100 000 ha,1995,
Prince Edward Island,1000.1 - 10 000 ha,1995,
Prince Edward Island,10 000.1 - 100 000 ha,1995,
Prince Edward Island,100.1 - 1 000 ha,1995,
Prince Edward Island,10.1 - 100 ha,1995,
Prince Edward Island,1.1 - 10 ha,1995,10
Prince Edward Island,0.11 - 1.0 ha,1995,8
Prince Edward Island,Up to 0.1 ha,1995,11
Prince Edward Island,Over 100 000 ha,1994,
Prince Edward Island,1000.1 - 10 000 ha,1994,
Prince Edward Island,10 000.1 - 100 000 ha,1994,
Prince Edward Island,100.1 - 1 000 ha,1994,
Prince Edward Island,10.1 - 100 ha,1994,
Prince Edward Island,1.1 - 10 ha,1994,6
Prince Edward Island,0.11 - 1.0 ha,1994,10
Prince Edward Island,Up to 0.1 ha,1994,27
Prince Edward Island,Over 100 000 ha,1993,
Prince Edward Island,1000.1 - 10 000 ha,1993,
Prince Edward Island,10 000.1 - 100 000 ha,1993,
Prince Edward Island,100.1 - 1 000 ha,1993,
Prince Edward Island,10.1 - 100 ha,1993,2
Prince Edward Island,1.1 - 10 ha,1993,13
Prince Edward Island,0.11 - 1.0 ha,1993,11
Prince Edward Island,Up to 0.1 ha,1993,3
Prince Edward Island,Over 100 000 ha,1992,
Prince Edward Island,1000.1 - 10 000 ha,1992,
